Facility_Name,Facility_Type,Latitude,Longitude,Data_Sources,Confidence_Score,OSM_ID,Category,Dist_Zipline_km
Abotanse CHPs Compound,CHPS,7.0798809,-0.0957694,"OSM,HDX",0.67,8507017600,CHPS,71.3608433141133
Adaklu Ablornu CHPs Compound,CHPS,6.3488205,0.6367137,"OSM,HDX",0.67,8564385285,CHPS,54.68739179281718
Adukrom CHPs Compound,CHPS,7.0140064,-0.0952629,"OSM,HDX",0.67,8507559106,CHPS,64.72600864217686
Agordeke CHPs Compound,CHPS,7.0558061,0.1203525,"OSM,HDX",0.67,8510344969,CHPS,62.91100153252705
Akome CHPs Compound,CHPS,6.8200771,0.4678395,"OSM,HDX",0.67,8583291384,CHPS,49.84501805996818
Alogboshie CHPS Compound,CHPS,5.6266848,-0.2320251,OSM,0.63,615395145,CHPS,67.97078969769784
Ampeyo CHPs Compound,CHPS,7.7690975,0.5600684,"OSM,HDX",0.67,8645221487,CHPS,63.236053761353
Amuzudeue CHPs Compound,CHPS,6.5037605,0.6293018,"OSM,HDX",0.67,8563325015,CHPS,51.66028621463723
Anfoeta Zongo CHPs Compound,CHPS,6.7403375,0.3913102,"OSM,HDX",0.67,8583254543,CHPS,37.628042223866565
Asikasu CHPs Compound,CHPS,7.0395861,-0.0821343,"OSM,HDX",0.67,8500132756,CHPS,66.67541996768631
Atidze CHPs Compound,CHPS,6.713719,0.5192051,"OSM,HDX",0.67,8564393292,CHPS,46.65177160451238
Atobiata CHPs Compound,CHPS,7.4075371,0.473577,"OSM,HDX",0.67,8614146237,CHPS,68.8669269086695
Atomkongu CHPS Compound,CHPS,10.8351122,-1.0003225,OSM,0.53,808819142,CHPS,58.12887035046852
Attakorah CHPs Compound,CHPS,7.046312,-0.0886518,"OSM,HDX",0.67,8499837804,CHPS,67.64841460388028
Attakrom CHPs Compound,CHPS,7.47321,0.4451324,"OSM,HDX",0.67,8614117401,CHPS,61.973629818367435
Avee CHPs Compound,CHPS,6.7689535,0.5408405,"OSM,HDX",0.67,8564403658,CHPS,52.079419305672666
Awudome Avenui CHPs Compound,CHPS,6.6006191,0.3141154,"OSM,HDX",0.67,8573162141,CHPS,20.854739052261333
