Latitude,Longitude,Hub_ID,Operator,Type,Range_km
9.3839717,-0.8145347,MASA_MH_01,MASA,Micro-Hub,30
5.2045994,-1.056271,MASA_MH_02,MASA,Micro-Hub,30
4.9346937,-1.7139785,MASA_MH_03,MASA,Micro-Hub,30
5.3658203,-1.9409662,MASA_MH_04,MASA,Micro-Hub,30
7.4832239,-2.1730852,MASA_MH_05,MASA,Micro-Hub,30
10.0519176,-2.5390234,MASA_MH_06,MASA,Micro-Hub,30
5.3875577,-0.648335,MASA_MH_07,MASA,Micro-Hub,30
6.0560359,0.9924101,MASA_MH_08,MASA,Micro-Hub,30
5.4908372,-1.5329901,MASA_MH_09,MASA,Micro-Hub,30
7.2147318,0.4720568,MASA_MH_10,MASA,Micro-Hub,30
5.0626406,-2.7766584,MASA_MH_11,MASA,Micro-Hub,30
7.8337554,-1.7955021,MASA_MH_12,MASA,Micro-Hub,30
9.0765569,-1.8169189,MASA_MH_13,MASA,Micro-Hub,30
8.4959459,0.3139676,MASA_MH_14,MASA,Micro-Hub,30
7.586238,-2.7854284,MASA_MH_15,MASA,Micro-Hub,30
9.2826508,0.0185152,MASA_MH_16,MASA,Micro-Hub,30
4.9357441,-2.3552129,MASA_MH_17,MASA,Micro-Hub,30
9.6699231,0.1957063,MASA_MH_18,MASA,Micro-Hub,30
7.1593665,-2.404393,MASA_MH_19,MASA,Micro-Hub,30
10.490573,-2.5007604,MASA_MH_20,MASA,Micro-Hub,30
10.8494616,-0.1778384,MASA_MH_21,MASA,Micro-Hub,30
7.7763431,-1.3342887,MASA_MH_22,MASA,Micro-Hub,30
10.273154,0.207796,MASA_MH_23,MASA,Micro-Hub,30
6.9216504,-3.1660639,MASA_MH_24,MASA,Micro-Hub,30
8.656838,-1.5231321,MASA_MH_25,MASA,Micro-Hub,30
6.2027,-0.4462,Omenako (GH1),Zipline,Standard-Hub,80
7.0545,-1.3855,Mpanya (GH2),Zipline,Standard-Hub,80
10.347,-0.8035,Vobsi (GH3),Zipline,Standard-Hub,80
6.182,-2.4845,Sefwi Wiawso (GH4),Zipline,Standard-Hub,80
6.4885,0.1625,Anum (GH5),Zipline,Standard-Hub,80
7.7981,-0.0125,Kete Krachi (GH6),Zipline,Standard-Hub,80
